Mixture	TechRepMixture	Run	Channel	Protein	Abundance	BioReplicate	Condition
Mixture1	1	Mixture1_1	channel1	sp|A1A6H3|RBSK_ARATHRibokinaseOS=ArabidopsisthalianaOX=3702GN=RBSKPE=1SV=1	12.741142530487531	0	0
Mixture1	1	Mixture1_1	channel1	sp|A1A6M1|PTAC5_ARATHProteindisulfideisomerasepTAC5,chloroplasticOS=ArabidopsisthalianaOX=3702GN=PTAC5PE=1SV=1	13.42402231832346	0	0
Mixture1	1	Mixture1_1	channel1	sp|A1L4Y1|GET3B_ARATHATPaseGET3BOS=ArabidopsisthalianaOX=3702GN=GET3BPE=1SV=1	13.418149869234616	0	0
Mixture1	1	Mixture1_1	channel1	sp|A8MS68|PLPD1_ARATHDihydrolipoyldehydrogenase1,chloroplasticOS=ArabidopsisthalianaOX=3702GN=LPD1PE=2SV=1	12.394608960363062	0	0
Mixture1	1	Mixture1_1	channel1	sp|B3LFA4|SYCC2_ARATHCysteine--tRNAligase2,cytoplasmicOS=ArabidopsisthalianaOX=3702GN=At5g38830PE=2SV=1	14.11206050689754	0	0
Mixture1	1	Mixture1_1	channel1	sp|B9DFA8|INVC_ARATHAlkaline/neutralinvertaseC,mitochondrialOS=ArabidopsisthalianaOX=3702GN=INVCPE=1SV=1	13.405007095707482	0	0
Mixture1	1	Mixture1_1	channel1	sp|B9DFX7|HMA8_ARATHCopper-transportingATPasePAA2,chloroplasticOS=ArabidopsisthalianaOX=3702GN=PAA2PE=1SV=1	13.123441338335919	0	0
Mixture1	1	Mixture1_1	channel1	sp|B9DGD6|ACS_ARATHAcetyl-coenzymeAsynthetase,chloroplastic/glyoxysomalOS=ArabidopsisthalianaOX=3702GN=ACSPE=1SV=1	13.189087294593843	0	0
Mixture1	1	Mixture1_1	channel1	sp|B9DGT7|TBA2_ARATHTubulinalpha-2chainOS=ArabidopsisthalianaOX=3702GN=TUBA2PE=2SV=2	12.681501345324072	0	0
Mixture1	1	Mixture1_1	channel1	sp|B9DHA6|RL40A_ARATHUbiquitin-60SribosomalproteinL40-1OS=ArabidopsisthalianaOX=3702GN=RPL40APE=2SV=1	13.212761488004857	0	0
Mixture1	1	Mixture1_1	channel1	sp|B9DHD3|HIS6A_ARATHHistidinol-phosphateaminotransferase1,chloroplasticOS=ArabidopsisthalianaOX=3702GN=HISN6APE=1SV=1	13.150600056365956	0	0
Mixture1	1	Mixture1_1	channel1	sp|B9DHQ0|TBA5_ARATHTubulinalpha-5chainOS=ArabidopsisthalianaOX=3702GN=TUBA5PE=1SV=2	12.698093706017684	0	0
Mixture1	1	Mixture1_1	channel1	sp|C0Z361|CPNB3_ARATHChaperonin60subunitbeta3,chloroplasticOS=ArabidopsisthalianaOX=3702GN=CPN60B3PE=1SV=1	13.0872893249353	0	0
Mixture1	1	Mixture1_1	channel1	sp|F4HTT6|CP26B_ARATHPeptidyl-prolylcis-transisomeraseCYP26-2,chloroplasticOS=ArabidopsisthalianaOX=3702GN=CYP26-2PE=2SV=1	13.351201528929755	0	0
Mixture1	1	Mixture1_1	channel1	sp|F4HYF3|DCYD1_ARATHBifunctionalD-cysteinedesulfhydrase/1-aminocyclopropane-1-carboxylatedeaminase,mitochondrialOS=ArabidopsisthalianaOX=3702GN=DCDPE=1SV=1	12.755726520632539	0	0
Mixture1	1	Mixture1_1	channel1	sp|F4I0K2|SCKL2_ARATHFructokinase-like2,chloroplasticOS=ArabidopsisthalianaOX=3702GN=FLN2PE=1SV=2	10.946254399280154	0	0
